key,n,row_ratio,nd_approx,dup_ratio,avg_len,med_len,max_len,multi_ratio,yes_no_ratio,numeric_ratio,url_ratio,phone_ratio,qid_ratio,upper_ratio,non_ascii_ratio,long_ratio,token_ratio,min_level,med_level
addr:unit,207336,0.0069,22019,0.8938,3.2,3.0,104,0.0032,0.0,0.5561,0.0,0.0029,0.0,0.3897,0.0127,0.0003,0.5663,0,12.0
network,204542,0.00681,10399,0.9492,13.0,11.0,255,0.0407,0.0001,0.0003,0.0002,0.0,0.0,0.7782,0.1938,0.0172,0.1371,0,11.0
collection_times,204040,0.00679,18267,0.9105,17.5,21.0,184,0.5014,0.0,0.0004,0.0,0.0,0.0,0.9813,0.0011,0.0101,0.002,0,11.0
operator:wikipedia,199373,0.00663,4111,0.9794,19.2,17.0,91,0.0,0.0,0.0,0.0002,0.0,0.0001,0.9589,0.3411,0.0203,0.0,0,11.0
recycling:glass_bottles,195947,0.00652,5,1.0,3.0,3.0,7,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11.0
bicycle,193842,0.00645,13,0.9999,2.9,3.0,17,0.0,0.9925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11.0
name:uk,189183,0.0063,77609,0.5898,13.3,10.0,203,0.0002,0.0,0.0024,0.0,0.0002,0.0,0.9909,0.8908,0.0301,0.0017,0,11.0
alt_name,181887,0.00605,111533,0.3868,18.4,16.0,255,0.0311,0.0,0.0007,0.0,0.0001,0.0,0.8865,0.3749,0.0478,0.0027,0,11.0
drive_through,179302,0.00597,32,0.9998,2.2,2.0,68,0.0,0.9969,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,0,12.0
isced:level,178668,0.00595,207,0.9988,1.5,1.0,74,0.1318,0.0,0.8591,0.0,0.0,0.0,0.0006,0.0019,0.0001,0.9753,0,8.0
image,173490,0.00577,180378,-0.0397,79.4,71.0,255,0.0014,0.0001,0.0001,0.927,0.0001,0.0,0.8112,0.0475,0.9332,0.0002,0,11.0
addr:subdistrict,171770,0.00572,33432,0.8054,9.1,8.0,104,0.0001,0.0,0.0014,0.0,0.0,0.0,0.7656,0.2958,0.0004,0.0061,0,9.0
indoor_seating,168574,0.00561,30,0.9998,2.9,3.0,13,0.0001,0.9985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,12.0
man_made,159778,0.00532,586,0.9963,8.3,9.0,48,0.0001,0.0199,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.9968,0,10.0
shelter_type,154061,0.00513,229,0.9985,13.0,14.0,51,0.0,0.0002,0.0,0.0,0.0,0.0,0.0022,0.0002,0.0,0.9975,0,10.0
name:ar,152319,0.00507,108723,0.2862,15.3,13.0,132,0.0006,0.0,0.0006,0.0,0.0001,0.0,0.0216,0.985,0.0143,0.0016,0,10.0
recycling:paper,151951,0.00506,29,0.9998,3.0,3.0,112,0.0,0.9973,0.0001,0.0,0.0,0.0,0.0025,0.0,0.0,0.9975,0,11.0
indoor,151166,0.00503,58,0.9996,2.5,2.0,65,0.0,0.9716,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.9998,0,13.0
fixme,148122,0.00493,39293,0.7347,33.2,25.0,255,0.0267,0.0028,0.0001,0.0002,0.0001,0.0,0.4962,0.1994,0.2913,0.1812,0,10.0
atm,147329,0.0049,71,0.9995,3.0,3.0,37,0.0,0.9969,0.0001,0.0,0.0,0.0,0.0002,0.0,0.0,0.9996,0,12.0
smoking,145631,0.00485,60,0.9996,4.2,2.0,51,0.0001,0.5909,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.9998,0,12.0
parking_space,143973,0.00479,103,0.9993,8.0,8.0,26,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.9999,0,12.0
lit,142838,0.00475,39,0.9997,2.4,2.0,59,0.0,0.9978,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.9992,0,12.0
official_name,140270,0.00467,54622,0.6106,30.2,25.0,252,0.0004,0.0,0.0003,0.0,0.0,0.0,0.9404,0.3533,0.2097,0.0005,0,11.0
name:zh,132794,0.00442,73111,0.4494,5.2,4.0,95,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0367,0.9897,0.0002,0.0006,0,11.0
healthcare:speciality,132547,0.00441,14286,0.8922,15.5,11.0,255,0.1712,0.0001,0.0,0.0,0.0,0.0,0.0093,0.0131,0.0496,0.9722,0,12.0
payment:visa,131863,0.00439,11,0.9999,3.0,3.0,26,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,12.0
archaeological_site,130204,0.00433,523,0.996,7.8,7.0,59,0.0001,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0,0.9991,0,9.0
dispensing,128340,0.00427,213,0.9983,3.0,3.0,98,0.0,0.9978,0.0,0.0,0.0,0.0,0.0016,0.0003,0.0,0.9982,0,11.0
swimming_pool,128263,0.00427,50,0.9996,7.8,8.0,34,0.0001,0.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0,11.0
wikimedia_commons,126501,0.00421,114643,0.0937,45.5,43.0,255,0.005,0.0,0.0,0.0022,0.0,0.0,0.9999,0.3554,0.5556,0.0,0,11.0
payment:mastercard,126478,0.00421,7,0.9999,3.0,3.0,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,12.0
brand:ja,122084,0.00406,794,0.9935,6.4,6.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0264,0.9916,0.0,0.0055,0,11.0
source_ref,118973,0.00396,4052,0.9659,61.3,65.0,255,0.0005,0.0,0.0004,0.9662,0.0003,0.0,0.9194,0.0006,0.9438,0.0031,0,9.0
bench,118684,0.00395,63,0.9995,3.0,3.0,16,0.0,0.9919,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0,12.0
short_name,117563,0.00391,34266,0.7085,7.1,4.0,135,0.0017,0.0,0.0002,0.0,0.0,0.0,0.936,0.1576,0.0038,0.0048,0,11.0
toilets:disposal,114474,0.00381,74,0.9994,7.7,10.0,48,0.0001,0.0002,0.0003,0.0,0.0003,0.0,0.0002,0.0,0.0,0.9992,0,12.0
artist_name,112280,0.00374,67457,0.3992,15.2,13.0,255,0.0234,0.0,0.0001,0.0001,0.0,0.0,0.9728,0.2361,0.0143,0.0028,0,12.0
post_box:type,110155,0.00367,79,0.9993,5.2,4.0,38,0.0,0.0006,0.0,0.0,0.0,0.0,0.0001,0.0086,0.0,0.9903,0,10.0
surface,106579,0.00355,325,0.997,7.4,7.0,46,0.0008,0.0001,0.0,0.0,0.0,0.0,0.0005,0.0004,0.0,0.9934,0,11.0
support,105658,0.00352,288,0.9973,6.1,4.0,101,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.9945,0,11.0
addr:neighbourhood,104752,0.00349,32792,0.687,10.3,7.0,162,0.0001,0.0,0.0752,0.0,0.0017,0.0,0.4616,0.5978,0.0065,0.0762,0,11.0
name:ko,102036,0.0034,65066,0.3623,6.2,5.0,78,0.0006,0.0,0.0001,0.0,0.0,0.0,0.0564,0.9804,0.0006,0.0006,0,11.0
name:fr,101461,0.00338,51574,0.4917,17.7,17.0,158,0.0002,0.0,0.0004,0.0,0.0,0.0,0.9657,0.331,0.0315,0.0083,0,10.0
payment:coins,101004,0.00336,74,0.9993,3.0,3.0,51,0.0023,0.9905,0.0001,0.0,0.0,0.0,0.0001,0.0024,0.0,0.9971,0,12.0
toilets:wheelchair,100171,0.00333,27,0.9997,2.6,2.0,168,0.0001,0.9682,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0,12.0
recycling:plastic,100144,0.00333,17,0.9998,2.9,3.0,22,0.0,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11.0
wikipedia,100066,0.00333,70848,0.292,24.3,22.0,255,0.0002,0.0,0.0,0.0001,0.0,0.0,0.8217,0.4844,0.1023,0.0,0,11.0
note:ja,98840,0.00329,247,0.9975,26.0,26.0,128,0.0002,0.0,0.0,0.0,0.0,0.0,0.0002,1.0,0.0009,0.0,0,9.0
contact:vk,98816,0.00329,14293,0.8554,22.9,23.0,104,0.0002,0.0,0.0,0.9277,0.0,0.0,0.0003,0.0,0.001,0.067,0,11.0
fax,97790,0.00325,92427,0.0548,14.8,15.0,70,0.0021,0.0,0.1084,0.0,0.9931,0.0,0.0001,0.0004,0.0002,0.0082,0,11.0
internet_access:fee,94077,0.00313,62,0.9993,3.9,2.0,36,0.0001,0.7366,0.0001,0.0,0.0,0.0,0.0002,0.0001,0.0,0.9988,0,11.0
diet:vegetarian,93196,0.0031,12,0.9999,3.0,3.0,15,0.0,0.9354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0,12.0
male,92921,0.00309,27,0.9997,2.9,3.0,17,0.0007,0.9946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0,12.0
addr:floor,91808,0.00305,1034,0.9887,1.3,1.0,47,0.0353,0.0,0.7412,0.0,0.0,0.0,0.2414,0.0057,0.0,0.736,0,13.0
name:es,91594,0.00305,77609,0.1527,19.6,17.0,156,0.0001,0.0,0.0007,0.0,0.0001,0.0,0.9782,0.1974,0.0481,0.006,0,11.0
fhrs:id,91013,0.00303,85264,0.0632,6.4,6.0,103,0.0034,0.0,0.9966,0.0,0.9287,0.0,0.0,0.0,0.0001,1.0,0,12.0
toilets,90972,0.00303,117,0.9987,2.8,3.0,96,0.0002,0.9874,0.0015,0.0,0.0,0.0,0.0002,0.0,0.0001,0.9994,0,11.0
addr:housename,90892,0.00302,50373,0.4458,16.3,15.0,145,0.0002,0.0,0.0115,0.0,0.0003,0.0,0.9213,0.1599,0.014,0.0136,0,12.0
mapillary,90854,0.00302,88335,0.0277,17.0,15.0,255,0.0047,0.0,0.9636,0.0148,0.9636,0.0,0.0311,0.0,0.0186,0.9671,0,12.0
air_conditioning,89493,0.00298,17,0.9998,2.9,3.0,20,0.0,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0,12.0
drinking_water,89477,0.00298,81,0.9991,2.8,3.0,29,0.0004,0.9713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0,11.0
