key,multi_pairs,occurrences,avg_parts
spesialty,1,1,2.0
name:gd,1,1,2.0
public_utility,1,1,3.0
drink:iced_tea,1,1,2.0
opening_hours:raw_bar,1,1,2.0
old_phone,1,1,2.0
seamark:building:shape,1,1,2.0
cash_out,1,1,3.0
currency:CHF,1,1,2.0
nwn_ref,1,1,2.0
tractor:sales,1,1,2.0
award:michelin:selected,1,1,3.0
addr:entrance,1,1,2.0
cuisine:it,1,1,2.0
payment:cryptocurrencies,1,1,2.0
disused:healthcare:speciality,1,1,2.0
healthcare:product,1,1,2.0
phone:AU,1,1,2.0
currency:XLT,1,1,2.0
tools,1,1,3.0
fee:price,1,1,2.0
communication:amateur_radio:beacon:wavelength,1,1,5.0
ref:radvervehrsnetzNRW,1,1,2.0
subject:ref:CH:hls-dhs,1,1,2.0
employment_agency,1,1,2.0
fee:types,1,1,2.0
departments,1,1,3.0
office:type,1,1,2.0
light:colour,1,1,2.0
cuisine:conditional,1,1,3.0
alt_name:lo,1,1,2.0
contact:service,1,1,2.0
depicts,1,1,2.0
commemoration_date,1,1,2.0
was:addr:door,1,1,2.0
inscription:en:3,1,1,5.0
doctor,1,1,5.0
disused:cargo,1,1,2.0
opening_hours:praxis,1,1,3.0
urgent_care,1,1,2.0
name:ja_rm,1,1,2.0
source:fee:conditional,1,1,2.0
description:bg,1,1,2.0
opening_hours:保険窓口,1,1,2.0
was:brewery,1,1,3.0
end_date,1,1,2.0
fhrs:local_authority_id,1,1,2.0
xmas:note,1,1,2.0
sector,1,1,2.0
contact:nodal_officer_mobile,1,1,2.0
townhall:type,1,1,2.0
razed:direction_north:symbol,1,1,2.0
opening_hours:click_and_collect:direct_to_boot,1,1,2.0
doctor_name,1,1,3.0
source:reservation,1,1,2.0
socket:schuko:voltage,1,1,2.0
prow_ref,1,1,2.0
nysgissam:nysaddresspointid:2,1,1,3.0
school_district,1,1,2.0
not:ref:GB:the_circuit,1,1,2.0
inscription:direction_east,1,1,3.0
distance:backward,1,1,2.0
note:royal_cypher,1,1,2.0
groyne,1,1,2.0
fire_hydrant:location,1,1,3.0
old_name:es,1,1,2.0
was:name_1,1,1,2.0
razed:direction_south:route,1,1,2.0
source:details,1,1,2.0
old_name:ca,1,1,2.0
opening_hours:cafe_and_bar,1,1,2.0
operator:recycling:clothes,1,1,2.0
source:parking_space,1,1,2.0
was:description,1,1,5.0
denotation,1,1,3.0
direction_east:HW5,1,1,2.0
full_name,1,1,2.0
floors,1,1,2.0
memorial:person,1,1,3.0
direction_northwest:1:symbol,1,1,2.0
parking_space:conditional,1,1,2.0
opening_hours:swimming_pool,1,1,3.0
counselling,1,1,2.0
ref:service,1,1,2.0
opening_hours:member,1,1,2.0
toilets:type,1,1,2.0
alt_branch,1,1,2.0
opening_hours:box_office,1,1,4.0
direction:1988--~2020,1,1,2.0
socket:schuko:current,1,1,4.0
lit:source,1,1,2.0
pier:name,1,1,2.0
ref:hiking,1,1,2.0
opening_hours:blood_tests,1,1,2.0
lastcheck:note,1,1,2.0
name:zh-Latn-pinyin,1,1,2.0
deli:type,1,1,7.0
source:contact:housenumber,1,1,3.0
demolished:direction_north:route,1,1,2.0
hgv_articulated:conditional,1,1,5.0
contact:name,1,1,4.0
contact:foursquare,1,1,2.0
line,1,1,2.0
nrb_class,1,1,2.0
opening_hours:sample,1,1,2.0
opening_hours:auto_care_center,1,1,2.0
ref:EU:ESVE,1,1,2.0
source:cargo_bike:2021-12:fr,1,1,2.0
opening_hours:description:da,1,1,2.0
socket:shimano_steps_5pin:current,1,1,2.0
drinking_water:seasonal,1,1,2.0
buffet,1,1,3.0
internet_access:wlan:ssid,1,1,2.0
inscription:is,1,1,2.0
recycling:batteries,1,1,2.0
photographer,1,1,5.0
website:nl,1,1,2.0
industrial:equipment,1,1,2.0
marque,1,1,2.0
razed:opening_hours,1,1,2.0
jewelry,1,1,3.0
opening_hours:open_swimming,1,1,2.0
social_centre:for,1,1,2.0
ref:DE-BY:school_number,1,1,2.0
contact:phone:note,1,1,2.0
addr:roomnumber,1,1,2.0
tank,1,1,2.0
artist:wikimedia_commons,1,1,2.0
checkpoint:type,1,1,2.0
url:booking,1,1,2.0
ebusinesslotse:profil,1,1,4.0
toy,1,1,2.0
pedestal:decoration,1,1,2.0
opening_hours:Tea_Service,1,1,4.0
alt_name:pi,1,1,2.0
street_vendor,1,1,2.0
ref:rathaus_galerie,1,1,2.0
phone:EG:mobile,1,1,2.0
post_office:letter_from,1,1,2.0
service:brand,1,1,10.0
opening_hours:waiting_area,1,1,3.0
removed:direction_northwest,1,1,6.0
old_name:2010-2012,1,1,2.0
cave:equipment,1,1,2.0
opening_hours:seating,1,1,3.0
shower_good,1,1,2.0
socket:gb_ac,1,1,2.0
disused:brand,1,1,2.0
source:currency:EUR,1,1,2.0
ref:ruian:building,1,1,2.0
description:fr:2022-11,1,1,2.0
via:street:en,1,1,3.0
recycling:food,1,1,2.0
was:shoes,1,1,2.0
parcel_box:operator,1,1,2.0
clothes:-2023,1,1,2.0
panoramax:1,1,1,6.0
alt_name:grc,1,1,2.0
well_open,1,1,2.0
clothes_line,1,1,2.0
seamark:landmark:function,1,1,2.0
dryer:payment:coins:denominations,1,1,4.0
服務里別,1,1,2.0
opening_hours:optician,1,1,3.0
motor,1,1,2.0
masonry,1,1,2.0
inscription:my:1,1,1,8.0
imaging:type,1,1,6.0
pickup,1,1,2.0
removed:direction_southwest,1,1,4.0
opening_hours:wireless_services,1,1,2.0
scale,1,1,2.0
opening_hours:wheelchair,1,1,2.0
vending:opening_hours,1,1,4.0
shared_taxi:opening_hours,1,1,4.0
sign,1,1,2.0
drive_through:opening_hours,1,1,3.0
collection_times:payment_terminal,1,1,2.0
note:adfc-celle,1,1,2.0
direction_east:it,1,1,2.0
stone:colour,1,1,2.0
fuel:octane_87,1,1,2.0
source:period,1,1,2.0
subject:ref:CH-GE:icono,1,1,2.0
barbecue_grill,1,1,2.0
socket:tesla_supercharger,1,1,2.0
amusement_arcade,1,1,2.0
source:toilets,1,1,2.0
note:floor:material,1,1,2.0
description:3,1,1,2.0
opening_hours:grooming,1,1,2.0
opening_hours:reading_room,1,1,2.0
via:ref,1,1,3.0
tomb,1,1,2.0
lottery:conditional,1,1,3.0
cannon:type,1,1,2.0
check_date:capacity,1,1,2.0
direction_southwest:en,1,1,2.0
student:count,1,1,3.0
event,1,1,3.0
removed:contact:email,1,1,2.0
clothes:material,1,1,2.0
fixme:oh,1,1,7.0
name:eu,1,1,2.0
waste_basket,1,1,3.0
service:inspection,1,1,2.0
website:fr,1,1,2.0
heading:northeast,1,1,4.0
was:operator,1,1,2.0
parcel_pickup,1,1,2.0
opening_hours:2017,1,1,2.0
direction_northeast:ja-Hira,1,1,3.0
source:historic:period,1,1,2.0
service_times:maariv,1,1,2.0
disused:brand:wikidata,1,1,2.0
member_of,1,1,2.0
undefined,1,1,3.0
special_care,1,1,2.0
opening_hours:librarys,1,1,3.0
fruits,1,1,2.0
disused:direction_east:symbol,1,1,2.0
indoor:level,1,1,2.0
kerosene,1,1,2.0
use,1,1,2.0
apartment:for,1,1,2.0
memorial:note,1,1,2.0
ref:KČT:old,1,1,2.0
email:orders,1,1,2.0
descent,1,1,5.0
ref:schlossgutshofbritz,1,1,2.0
disused:direction_east:route,1,1,2.0
opening_hours:pizza,1,1,2.0
opening_hours:ATM,1,1,3.0
consultation_hours,1,1,4.0
accountant,1,1,2.0
plants,1,1,2.0
COMMENTS,1,1,2.0
addr:street:name,1,1,2.0
opening_hours:healthcare:speciality:internal,1,1,3.0
recycling:aluminium,1,1,2.0
source:fuel:lpg,1,1,2.0
award:500_bowls,1,1,3.0
service:tyres,1,1,4.0
was:healthcare:speciality,1,1,3.0
person:profession:kl,1,1,5.0
tattoo,1,1,2.0
cuisine:outside,1,1,5.0
species:ja,1,1,2.0
alt_name:lld,1,1,2.0
age_group,1,1,2.0
dance,1,1,2.0
old_name_2,1,1,2.0
driving_school:vehicle,1,1,4.0
was:direction_south:symbol,1,1,2.0
source:organic,1,1,2.0
architectural_style,1,1,2.0
opening_hours:reference_desk,1,1,2.0
parking:condition:maxstay,1,1,2.0
opening_hours:tours,1,1,2.0
contact:music_director,1,1,2.0
automated,1,1,2.0
note:ru,1,1,2.0
ref:EVS-ID,1,1,2.0
route_ref:rapidkl,1,1,4.0
note:address,1,1,2.0
information:en,1,1,2.0
fixme:cuisine,1,1,4.0
bathroom,1,1,3.0
was:direction_west,1,1,2.0
comment:de,1,1,2.0
name:te,1,1,2.0
siren:purpose,1,1,2.0
bunker_type,1,1,2.0
dsa:criteria,1,1,2.0
was:official_name,1,1,2.0
person:profession:en,1,1,5.0
manned,1,1,4.0
ref:nhn,1,1,2.0
lawyer:note,1,1,3.0
socket:device:USB-A:current,1,1,2.0
museum:type,1,1,2.0
time:forward,1,1,3.0
payment:lightning:operator,1,1,2.0
brand:rental,1,1,3.0
snowboard:sales,1,1,2.0
shop:musical_instrument,1,1,2.0
old_name:da,1,1,4.0
dec,1,1,3.0
deaf:description,1,1,2.0
founder,1,1,3.0
clothes:children,1,1,2.0
ref:linz:topo50_id,1,1,2.0
cash_in,1,1,3.0
opening_hours:online_rocket,1,1,3.0
restaurant:type:fr,1,1,3.0
tailor,1,1,2.0
alcohol_licensing:children_allowed,1,1,3.0
opening_hours:karaoke,1,1,2.0
description:tr,1,1,2.0
direction_north:en,1,1,2.0
source:material,1,1,2.0
pe:minedu:codigo_modular,1,1,2.0
inscription:es,1,1,2.0
mtb:type,1,1,3.0
short_name:ru,1,1,2.0
seamark:daymark:colour_pattern,1,1,2.0
map_scale,1,1,2.0
creative,1,1,2.0
landcover,1,1,2.0
microbrewery,1,1,2.0
service_times:wheelchair,1,1,2.0
ref:cin,1,1,3.0
education:num_classes,1,1,2.0
collection_times:notes,1,1,2.0
charge:service:40min:conditional,1,1,3.0
cuisine:inhouse,1,1,5.0
direction_south_east,1,1,2.0
disused:opening_hours:kitchen,1,1,3.0
time:backward,1,1,2.0
computer:data,1,1,3.0
so,1,1,2.0
opening_hours:car_sale,1,1,2.0
name:pi-Latn,1,1,4.0
note:direction_southwest,1,1,2.0
removed:phone,1,1,2.0
inscription:plate2,1,1,5.0
wheelchair:description:eo,1,1,2.0
tents,1,1,2.0
recycling:waste,1,1,2.0
description:fee,1,1,2.0
lunch:menu:url,1,1,2.0
cooking:types,1,1,2.0
source:listed_status,1,1,2.0
post_office,1,1,2.0
books:it,1,1,3.0
generator:method,1,1,2.0
brand:batteries,1,1,4.0
clothes:repair,1,1,2.0
opening_hours:collision_center,1,1,2.0
loc_phone,1,1,2.0
old_name:hy,1,1,2.0
faces,1,1,2.0
shop:type,1,1,3.0
fuel:discount,1,1,2.0
shoes:rental,1,1,2.0
school:ML,1,1,2.0
centralkey,1,1,2.0
winery:grape,1,1,3.0
swingerclub:for,1,1,4.0
status,1,1,2.0
ref:NO:orgnr,1,1,2.0
ref_line,1,1,3.0
communication:amateur_radio:beacon:antenna,1,1,5.0
working Area,1,1,2.0
drink:premium-mate,1,1,2.0
was:direction_southwest:route,1,1,6.0
power_source,1,1,2.0
authentication:short_message,1,1,2.0
power_supply:voltage,1,1,2.0
commemorates:wikipedia,1,1,5.0
ref:FR:CNC,1,1,2.0
alt_name:fi,1,1,2.0
name:mr,1,1,2.0
alt_name:sv,1,1,2.0
removed:ref,1,1,2.0
opening_hours:early_bird,1,1,2.0
telecom,1,1,2.0
pitch,1,1,2.0
drink:addon:sweeteners,1,1,2.0
cosmetics,1,1,2.0
note:amenity,1,1,2.0
opening_hours:checkin,1,1,2.0
via:street,1,1,3.0
direction_east:mtb,1,1,2.0
addr:street:corner,1,1,2.0
alcohol:conditional,1,1,3.0
note2,1,1,2.0
ref:FR:museofile,1,1,2.0
delivery:contact:phone,1,1,2.0
temporary:name,1,1,2.0
program,1,1,2.0
motor_vehicle,1,1,2.0
recycling:cartons,1,1,2.0
Sports Area Rules,1,1,2.0
playing_hours,1,1,24.0
is_in:hu,1,1,5.0
service:bicycle:pump,1,1,2.0
clt:inscription_date,1,1,2.0
disused:shoes,1,1,2.0
destination:left,1,1,2.0
not:office,1,1,2.0
hide,1,1,2.0
addr:hamlet,1,1,2.0
old_name:1966,1,1,2.0
circus,1,1,5.0
source:megalith_type,1,1,2.0
construction_date,1,1,3.0
recycling:electronics,1,1,2.0
food_type,1,1,3.0
garden_centre,1,1,6.0
copier:source,1,1,2.0
fee:60min,1,1,4.0
door:material,1,1,2.0
alt_name:sq,1,1,2.0
vending:seasonal,1,1,2.0
live_music:genre,1,1,3.0
fuel:lpg:conditional,1,1,3.0
opening_hours:doctor,1,1,2.0
FIXME:classify,1,1,3.0
permit:phone,1,1,2.0
brand:el,1,1,2.0
sortiment,1,1,3.0
bin,1,1,2.0
service_times:mass,1,1,3.0
base_material_values,1,1,2.0
phone:signed,1,1,2.0
truck:type,1,1,3.0
railway:signal:crossing:states,1,1,2.0
charge:young_child,1,1,3.0
was:direction_north,1,1,3.0
source:image,1,1,3.0
direction_east:distance,1,1,2.0
ref:bufa,1,1,2.0
opening_hours:schreyer,1,1,5.0
inscription:be,1,1,2.0
foodbank,1,1,2.0
alt_name:ja-Latn,1,1,2.0
tank_open,1,1,2.0
name:note,1,1,2.0
website:catalogue,1,1,2.0
disused:sport,1,1,2.0
addr:description,1,1,2.0
type:it,1,1,2.0
pedestal:stone,1,1,2.0
disused:man_made,1,1,2.0
was:cuisine:fr,1,1,2.0
website:note,1,1,2.0
outdoor_seating:breakfast,1,1,2.0
boules,1,1,2.0
opening_hours:training,1,1,3.0
was:collection_times,1,1,2.0
second_hand:type,1,1,2.0
kids_area:description:en,1,1,2.0
dinner:buffet,1,1,2.0
ref:ico,1,1,2.0
cuisine:ha,1,1,2.0
payment:paypay,1,1,2.0
facility:services:mn,1,1,8.0
name:yue,1,1,2.0
recycling:plastic,1,1,2.0
operator:doctor,1,1,2.0
cellar:type,1,1,2.0
disused:direction_southeast,1,1,2.0
direction_southeast:colour,1,1,2.0
name:br,1,1,2.0
opening_hours:testing,1,1,2.0
confession_times,1,1,2.0
note:wheelchair,1,1,2.0
cylinders,1,1,4.0
ferry:name,1,1,3.0
est_date,1,1,2.0
alt_name:zh-Latn-pinyin,1,1,5.0
old_name:vi,1,1,4.0
description:phone,1,1,3.0
opening_hours:juridical,1,1,2.0
old_name:nl,1,1,2.0
opening_hours:online,1,1,4.0
direction_south:1:osmc:symbol,1,1,4.0
operator:MNC,1,1,2.0
video:sales,1,1,2.0
artist_name:ru,1,1,3.0
donations_accepted,1,1,16.0
representative_figure,1,1,3.0
description:address,1,1,2.0
garden,1,1,2.0
name:ka,1,1,2.0
instruments,1,1,3.0
access_notice,1,1,3.0
source:office,1,1,2.0
official_name:be,1,1,2.0
old_name:fr,1,1,2.0
music_type:no,1,1,2.0
period,1,1,2.0
leather,1,1,2.0
direction_northeast_changed,1,1,2.0
GNS:uni,1,1,3.0
opening_hours:inspection,1,1,3.0
contact:phone:orders,1,1,3.0
destination:sv,1,1,9.0
disused:direction_southeast:route,1,1,7.0
clothes:men,1,1,2.0
opening_hours:beauty,1,1,3.0
drink:hot_chocolate,1,1,2.0
claimed_by,1,1,3.0
description:sv,1,1,2.0
note:payment,1,1,3.0
phone:copies,1,1,2.0
communication:amateur_radio:beacon:frequency,1,1,5.0
mapillary_1,1,1,2.0
branch:ja,1,1,3.0
artist_name:hy,1,1,3.0
ims:media_type,1,1,2.0
person,1,1,3.0
image2,1,1,2.0
rehabilitation_need,1,1,2.0
disused:research,1,1,3.0
cityracks.installed,1,1,2.0
entrance:kerb:height,1,1,2.0
internet_access:operator:wikidata,1,1,2.0
post_office:operator:wikidata,1,1,3.0
real_fire,1,1,2.0
mapping_practices,1,1,2.0
collection_times:note,1,1,2.0
collection_times:UPS_Air,1,1,2.0
socket:schuko:output,1,1,4.0
terminal_type,1,1,2.0
opening_hours:food_pantry,1,1,2.0
opening_hours:notary,1,1,4.0
epigraph,1,1,2.0
was:operator:brand,1,1,3.0
craft:fr,1,1,6.0
delivery:area,1,1,2.0
opening_hours:-2025,1,1,2.0
phone:ES,1,1,2.0
memorial:name2,1,1,2.0
opening_hours:early_voting,1,1,3.0
advertising,1,1,2.0
sight_query,1,1,4.0
produce:de,1,1,2.0
cave:features,1,1,2.0
service_times:mincha,1,1,3.0
kinky,1,1,2.0
mvdgis:padron,1,1,2.0
source:bicycle,1,1,2.0
description:ADA,1,1,2.0
ssr:stedsnr,1,1,2.0
deaf:description:en,1,1,2.0
note:recycling,1,1,2.0
network:type,1,1,6.0
description:sk,1,1,7.0
youtube,1,1,2.0
source:operator:official_name,1,1,2.0
map:title,1,1,2.0
payment:notes:denominations:conditional,1,1,4.0
seamark:buoy_safe_water:colour,1,1,2.0
admin_level,1,1,2.0
opening_hours:optometrist,1,1,3.0
zero_waste,1,1,2.0
service:vehicle:air_conditioning,1,1,3.0
opening_hours:buffet,1,1,3.0
seamark:beacon_cardinal:colour,1,1,3.0
collection_times:express_international,1,1,2.0
panoramax:3,1,1,6.0
sushi,1,1,2.0
state,1,1,2.0
lunch:menu:price,1,1,3.0
source:emergency:phone,1,1,2.0
mobile_phone:type,1,1,4.0
disused,1,1,2.0
stationery,1,1,2.0
guidepost_ref,1,1,2.0
traffic_sign:direction,1,1,2.0
wheelchair:description:ca,1,1,2.0
opening_hours:lab,1,1,2.0
renovation_date,1,1,3.0
opening_hours:2024-,1,1,3.0
alt_name:rm,1,1,2.0
alt_name:hi,1,1,3.0
spoken,1,1,3.0
removed:direction_south:route,1,1,3.0
destination:symbol:forward,1,1,2.0
opening_hours:ticket_office,1,1,2.0
alt_name:te,1,1,3.0
opening_hours:self_checkout,1,1,4.0
sells:clothes,1,1,3.0
brand:ups,1,1,4.0
high_ropes_course:end,1,1,2.0
turn:lanes,1,1,2.0
courthouse,1,1,2.0
opening_hours:deli,1,1,2.0
payment:mastercard,1,1,2.0
opening_hours:trainer,1,1,4.0
school:subject,1,1,2.0
was:destination:2,1,1,3.0
source:beauty,1,1,2.0
bicycle:market,1,1,3.0
species:fr,1,1,3.0
ref:KCT:old,1,1,5.0
tenant,1,1,3.0
grape_variety,1,1,6.0
testing,1,1,3.0
vks:level,1,1,3.0
check_date:opening_hours,1,1,2.0
destination:fr,1,1,2.0
phone:service,1,1,2.0
mvv:zone,1,1,2.0
pets,1,1,2.0
photo_num,1,1,2.0
doctor:name,1,1,2.0
service:vehicle:body_repair,1,1,2.0
opening_hours:private,1,1,2.0
person:profession:de,1,1,5.0
drink:kombucha,1,1,2.0
name:-2023,1,1,5.0
shop:2018,1,1,2.0
direction:1990-late 2010s,1,1,3.0
parking:condition:area:time_interval,1,1,2.0
historic:url,1,1,2.0
material:wikidata,1,1,2.0
vehicle:repair,1,1,2.0
was:contact:phone,1,1,2.0
opening_hours:wellness,1,1,2.0
cards,1,1,4.0
product:wikidata,1,1,2.0
attribution,1,1,2.0
diet:vegan:description,1,1,2.0
horeca:type,1,1,2.0
training:focus,1,1,2.0
opening_hours:members,1,1,2.0
openbenches:id,1,1,2.0
organic:conditional,1,1,2.0
fee:30min,1,1,4.0
fix_guidepost:ticket:date,1,1,2.0
todo,1,1,2.0
recycling:plastic_packaging,1,1,2.0
mhs:criteria,1,1,3.0
bus_lines,1,1,3.0
maxstay,1,1,3.0
dealer,1,1,2.0
office_hours,1,1,2.0
ref:HK,1,1,2.0
after_school,1,1,2.0
diet:vegan,1,1,2.0
source:name:de,1,1,2.0
old_addr:postcode,1,1,2.0
plate:right,1,1,2.0
well,1,1,2.0
operator_1,1,1,2.0
direction_west:de,1,1,3.0
operator:TML,1,1,2.0
service_times:en,1,1,3.0
direction_southeast:6,1,1,2.0
events_venue,1,1,2.0
rent,1,1,3.0
inscription:pl,1,1,4.0
nat_ref,1,1,2.0
seamark:rescue_station:category,1,1,2.0
internet_access:access,1,1,2.0
name:ur,1,1,2.0
contact:language,1,1,3.0
healthcare:specialty,1,1,3.0
guided_tour,1,1,2.0
elevator,1,1,2.0
glaziery,1,1,2.0
communication:amateur_radio:beacon:power,1,1,5.0
name:yue-Latn,1,1,2.0
removed:name,1,1,2.0
entrance:width,1,1,2.0
drink:sake,1,1,2.0
note:website,1,1,2.0
flooring,1,1,5.0
shop_1,1,1,2.0
renewable_energy:type,1,1,3.0
carpet:type,1,1,2.0
description:healthcare:speciality,1,1,2.0
opening_hours:x-ray,1,1,3.0
opening_hours:informal_reception,1,1,3.0
anime,1,1,2.0
shop:fr,1,1,2.0
polling_station,1,1,2.0
piste:type,1,1,2.0
dishes,1,1,8.0
selling,1,1,4.0
on_air:hours:digital,1,1,3.0
reg_ref,1,1,2.0
opening_hours:El_Cafe,1,1,2.0
opening_hours:photo_center,1,1,2.0
genre,1,1,2.0
website:menu:drink,1,1,2.0
goods:conditional,1,1,3.0
source:service,1,1,2.0
service:vehicle:batteries,1,1,2.0
ref:SDI,1,1,2.0
drink:astra,1,1,2.0
boat:tours,1,1,2.0
disc_golf:par,1,1,2.0
deli,1,1,2.0
full_service,1,1,2.0
not:waste,1,1,3.0
parking:condition:both,1,1,2.0
direction_east:1:symbol,1,1,3.0
service:customer_service,1,1,2.0
charge:discounted,1,1,3.0
addr:settlement,1,1,2.0
opening_hours:corporate,1,1,2.0
destination:bicycle:forward,1,1,2.0
fabric,1,1,2.0
construction:opening_hours,1,1,2.0
phone:appointment,1,1,2.0
container:ref,1,1,2.0
built2:architect,1,1,2.0
picnic_table,1,1,2.0
bakery:opening_hours,1,1,3.0
nursery,1,1,2.0
contact:tiktok,1,1,2.0
hairdresser:services,1,1,4.0
was:brand:wikipedia,1,1,2.0
sells:tobacco,1,1,3.0
ref:old,1,1,2.0
tobacco:conditional,1,1,3.0
communication:amateur_radio:repeater:dcs,1,1,2.0
panoramax:4,1,1,6.0
artist_name:wikidata,1,1,2.0
mvdgis:cod_nombre,1,1,2.0
contact:gg,1,1,2.0
fee:amount,1,1,2.0
ref:RO:lmi,1,1,2.0
school:type_idn,1,1,2.0
socket:shimano_steps_5pin:voltage,1,1,2.0
key_cutting:type,1,1,4.0
school:level,1,1,2.0
disused:hobby,1,1,2.0
webshop,1,1,2.0
room:type,1,1,2.0
drinking_water:flavour,1,1,2.0
opening_hours:library,1,1,3.0
artwork:partner,1,1,2.0
source:object,1,1,2.0
artist_name:hu,1,1,2.0
opening_hours:consular,1,1,2.0
name:kk,1,1,2.0
menu:url,1,1,2.0
opening_hours:2016-2022,1,1,4.0
takeaway:description,1,1,2.0
opening_hours:cantina,1,1,2.0
bicycle_tube,1,1,2.0
animal:de,1,1,2.0
note:phone,1,1,2.0
water_purification,1,1,2.0
ref:FR:AnnuaireSante,1,1,2.0
massgis:PRIM_PURP,1,1,2.0
tractor:equipment,1,1,2.0
building_medium,1,1,2.0
opening_hours:deck,1,1,3.0
operator:official_name,1,1,2.0
hardware:type,1,1,4.0
osm_id,1,1,3.0
opening_hours:ro,1,1,3.0
check_in,1,1,2.0
short_name:sr-Latn,1,1,2.0
note:laxbar,1,1,4.0
opening_hours:car_parts,1,1,2.0
wikimedia_commons:pano,1,1,2.0
seamark:beacon_lateral:colour,1,1,2.0
was:direction_south:route,1,1,6.0
destination:7,1,1,2.0
railway:position,1,1,2.0
recycling:plastic_bottles:colour,1,1,2.0
rugby,1,1,2.0
alt_name:lv,1,1,5.0
capacity:shop,1,1,2.0
ref:CNES,1,1,2.0
name:abbr,1,1,2.0
cocktails,1,1,2.0
naptan:AltStreet,1,1,2.0
direction_south:ja-Hira,1,1,2.0
source:fixme:shop,1,1,2.0
note:historic:operator,1,1,2.0
opening_hours:spare_parts_service,1,1,3.0
notice,1,1,2.0
name:popular,1,1,2.0
source:capacity:persons:covid19,1,1,2.0
artist:website,1,1,2.0
trade:type,1,1,2.0
loc_name:da,1,1,2.0
ideology,1,1,2.0
source:ncn_milepost,1,1,2.0
note:it,1,1,2.0
charge:description,1,1,4.0
direction_south:2:osmc:symbol,1,1,2.0
brand:phone,1,1,2.0
bearproof_storage,1,1,3.0
post_office:brand:wikipedia,1,1,2.0
simulator,1,1,3.0
washing_machine:payment:coins:denominations,1,1,4.0
product:ja,1,1,2.0
ethnic,1,1,2.0
healthcare:speciality:1,1,1,12.0
phone:FR,1,1,2.0
free to use?,1,1,2.0
fare,1,1,3.0
disused:collection_times,1,1,2.0
payment:provider,1,1,3.0
cuisine:rubbish,1,1,4.0
toilets:num_chambers,1,1,2.0
transformer:rating,1,1,3.0
old_name:uz,1,1,2.0
local_name,1,1,3.0
contact:mobile:conditional,1,1,3.0
note:1,1,1,2.0
description:fi,1,1,3.0
name:bg,1,1,2.0
lottery:opening_hours,1,1,2.0
old_branch,1,1,2.0
was:location,1,1,3.0
advertising_agency:speciality,1,1,13.0
description:3:it,1,1,3.0
operator:person,1,1,2.0
brand:fa,1,1,2.0
operator:mobile,1,1,2.0
source:description:drink,1,1,2.0
phone:call_center,1,1,2.0
phone_alt,1,1,2.0
drink:water,1,1,2.0
description:ms,1,1,7.0
drink:milk,1,1,2.0
access:description,1,1,2.0
collection_times:mail,1,1,4.0
ref:reef,1,1,2.0
source:geometry:ref,1,1,2.0
ref:IČO,1,1,2.0
note:cuisine,1,1,2.0
fountain:material,1,1,2.0
award:michelin,1,1,2.0
recording_studio,1,1,2.0
opening_hours:gelateria,1,1,2.0
direction_northwest:via,1,1,2.0
paho:id,1,1,2.0
branch:short,1,1,2.0
opening_hours:extended,1,1,4.0
ref:edubase,1,1,2.0
motorcycle:engine,1,1,5.0
person:profession:da,1,1,6.0
washing_machine,1,1,2.0
seasonal:winter:ski:rental,1,1,3.0
snowmobile:sales,1,1,2.0
capacity:free:hourly:fall:We,1,1,7.0
charge:buffet,1,1,2.0
collection_times:parcel,1,1,3.0
opening_hours:shipping,1,1,2.0
razed:direction_east:route,1,1,3.0
spare_parts,1,1,2.0
communication:amateur_radio:repeater:frequency_out,1,1,2.0
ref:serial_number,1,1,2.0
homeless_shelter:meals,1,1,4.0
traffic_sign:variable,1,1,2.0
defibrillator:location:de,1,1,2.0
inscription:backward,1,1,5.0
insurance:healthcare,1,1,2.0
drink:tea:description,1,1,2.0
legal_type:FR,1,1,2.0
service_type,1,1,3.0
cxx:id,1,1,2.0
website:en,1,1,2.0
commemoration,1,1,3.0
food:katsu,1,1,2.0
houseware,1,1,3.0
edible_oil:type,1,1,6.0
alt_name:pt,1,1,2.0
trees,1,1,2.0
proposed:opening_hours,1,1,5.0
color,1,1,2.0
addr:khasra,1,1,2.0
drink:rothaus,1,1,2.0
was:direction_northwest:symbol,1,1,2.0
deposit,1,1,2.0
video:type,1,1,2.0
opening_hours:Beratung,1,1,2.0
facilities,1,1,20.0
razed:direction_south,1,1,2.0
fixed,1,1,2.0
toilets:position:male,1,1,2.0
working_area,1,1,3.0
telecommunication,1,1,2.0
destination:side,1,1,2.0
ref:details,1,1,2.0
monitoring:water_quality,1,1,2.0
original_position,1,1,2.0
fitness,1,1,6.0
material:colour,1,1,2.0
description:be,1,1,2.0
service:vehicle:tyres,1,1,3.0
route_ref:TECH,1,1,2.0
cuisine:wikidata,1,1,2.0
was:destination:1,1,1,3.0
alt_addr:place,1,1,2.0
3d_printing,1,1,2.0
description:ja-Latn,1,1,2.0
church:type,1,1,2.0
destination:colour,1,1,2.0
phone:BE,1,1,2.0
emergency:ref,1,1,2.0
brewery:pils_non-alcoholic,1,1,2.0
ufrn:codigo_unidade,1,1,2.0
inscription:direction_west,1,1,3.0
opening_hours:legal_person,1,1,2.0
opening_hours:Sozialamt,1,1,2.0
cuisine:chinese,1,1,2.0
drink:premium-cola,1,1,2.0
not:collection_times,1,1,3.0
inscription:my:3,1,1,5.0
coordinates,1,1,2.0
cxx:code,1,1,2.0
