key,multi_pairs,occurrences,avg_parts
surveillance:zone,13,28,2.23
note:opening_hours,28,28,2.25
opening_hours:signed,27,28,2.52
socket:type2,14,27,2.29
wine:type,3,27,3.0
operator:email,8,27,2.0
plant,13,27,2.62
source:waste,1,27,2.0
source:recycling,1,27,2.0
authentication:membership_card,6,26,2.67
post_office:parcel_to,23,26,2.48
wheelchair:description:de,23,26,2.26
ref:iwm,25,26,2.0
flood_date,24,26,4.54
direction_west:ref,22,26,2.23
cyclestreets_id,26,26,2.04
OGD-Stmk:OBJECTID,26,26,2.23
old_collection_times,20,26,2.0
water_source,18,25,2.39
free_flying:site_orientation,13,25,2.92
socket:type1_combo:output,19,25,2.53
athletics,10,25,2.2
heading:east,22,25,3.73
capacity:pupils,24,24,2.25
inscription:language,15,24,2.07
research,23,24,2.39
source:royal_cypher,1,24,2.0
phone:UA,23,24,2.22
sports,4,24,2.25
mineral,15,24,2.53
direction_southeast:3,24,24,2.75
ref:intercharge,24,24,2.13
founder_name,3,24,2.67
note:destination:order,18,24,2.61
direction_northeast:ref,17,23,2.12
theatre:genre,17,23,2.76
collection_times:first_class,23,23,3.13
payment,22,23,3.36
source:official_name,1,23,2.0
affiliation,3,23,2.0
royal_cypher,7,23,2.0
checkpoint,4,23,2.25
brand:official_name,1,23,2.0
parking:fee,7,23,2.14
lawyer:speciality,23,23,2.83
source:collection_times,1,22,2.0
disused:amenity,19,22,2.05
post_office:collection_times,22,22,2.41
capacity:teachers,21,22,2.1
building:levels,12,22,2.42
water_communities,22,22,2.68
opening_hours:breakfast,22,22,2.14
marker,14,22,2.5
school:FR,9,22,2.11
ref:FR:LaPoste,22,22,2.0
time,21,22,3.33
insurance,17,22,3.94
website:menu,21,21,2.05
source:shop,3,21,2.0
opening_hours:self_service,20,21,2.65
date,21,21,2.05
man_made,14,21,2.07
description:br,19,21,2.16
source:fee,2,21,2.0
source:tourism,1,21,2.0
indoor_seating:comfort,12,20,2.17
products,19,20,3.68
measurements,20,20,2.9
certification,11,20,2.18
opening_hours:shop,20,20,2.7
inscription:1,20,20,2.85
opening_date,20,20,2.25
ref:mhs,20,20,2.15
addr:housenumber_1,18,20,3.94
post:flats,14,19,3.71
outdoor_seating:comfort,12,19,2.08
source:information,1,19,2.0
source:addr:housenumber,6,19,2.17
toilets:hygienic_cleansing,7,19,2.29
inscription:3,19,19,3.42
takeaway,18,19,2.33
pizza:style,10,19,2.6
network:wikidata,10,19,2.1
topic,13,19,3.92
heading:west,16,18,2.56
archaeological_site,16,18,2.06
source:drink,4,18,2.5
collection_times:local,16,18,2.06
animal,16,18,3.44
source:charge,2,18,2.0
building,11,18,2.0
company,18,18,2.39
name:language,13,18,2.0
parcel_locker:service_provider,13,18,3.23
source:inscription,4,18,2.0
sagns_id,17,17,2.24
building:architecture,11,17,2.09
whc:criteria,5,17,2.6
car_repair,13,17,2.62
lines,15,17,2.8
contact:telegram,8,17,2.13
rooms_type_and_prices,17,17,4.94
text2,16,17,2.0
source:surveillance,2,17,2.0
motorcycle:parts,12,17,2.5
shipping,6,17,3.17
