key_group,distinct_keys,n,pair_share
car_wash,1,2858,0.0
direction_southwest:*,20,2853,0.0
abandoned:*,107,2851,0.0
direction_northwest:*,23,2843,0.0
wreck:*,31,2828,0.0
police:*,6,2820,0.0
display_operated,1,2812,0.0
FIXME,1,2811,0.0
direction_southeast:*,25,2808,0.0
kids_area,1,2804,0.0
leaf_cycle,1,2772,0.0
power,1,2771,0.0
water_supply,1,2754,0.0
number,1,2744,0.0
noexit,1,2736,0.0
Observation,1,2731,0.0
valves,1,2695,0.0
end_date,1,2695,0.0
url:*,130,2682,0.0
protection_title,1,2662,0.0
group_only,1,2646,0.0
scuba_diving:*,157,2635,0.0
fishing,1,2609,0.0
zone:*,10,2594,0.0
lastcheck,1,2585,0.0
truck,1,2574,0.0
milestone_type,1,2571,0.0
departures_board,1,2563,0.0
outdoor,1,2537,0.0
emergency_telephone_code,1,2534,0.0
advertising,1,2499,0.0
usage,1,2492,0.0
collection_times:*,25,2475,0.0
row,1,2462,0.0
sells:*,147,2446,0.0
maxlength,1,2435,0.0
small_electric_vehicle,1,2423,0.0
source_ref:*,16,2412,0.0
cold_water,1,2380,0.0
bulk_purchase,1,2364,0.0
origin,1,2342,0.0
roof,1,2336,0.0
LINZ:*,3,2329,0.0
passenger_information_display,1,2318,0.0
gender_segregated,1,2317,0.0
tactile_paving,1,2312,0.0
species,1,2296,0.0
cocktails,1,2291,0.0
number_of_apartments,1,2277,0.0
lunch,1,2275,0.0
produce,1,2270,0.0
parish:*,4,2261,0.0
grave,1,2248,0.0
pcode,1,2242,0.0
old_operator,1,2230,0.0
project,1,2227,0.0
sdot:*,2,2201,0.0
massage,1,2193,0.0
kids_area:*,14,2187,0.0
stone_type,1,2178,0.0
lawyer,1,2162,0.0
name_disaster,1,2154,0.0
denotation,1,2139,0.0
protected,1,2138,0.0
floor,1,2125,0.0
stamping_machine,1,2100,0.0
taxi_vehicle,1,2095,0.0
dnt:*,4,2089,0.0
shoes,1,2087,0.0
count:*,7,2086,0.0
street_vendor,1,2063,0.0
thermometer,1,2055,0.0
opening_date,1,2047,0.0
buried:*,3,2033,0.0
nobrand,1,2030,0.0
drive_in,1,2010,0.0
checkpoint,1,2009,0.0
dcgis:*,10,2009,0.0
strapline,1,2000,0.0
checkpoint:*,6,1993,0.0
water,1,1982,0.0
polling_station:*,32,1975,0.0
warm_water,1,1963,0.0
vehicle,1,1946,0.0
locality,1,1939,0.0
source_type_GPS,1,1928,0.0
amenity_1,1,1924,0.0
fire_hydrant:*,16,1920,0.0
canoe,1,1909,0.0
baby_feeding,1,1896,0.0
water:*,15,1894,0.0
amenity:*,122,1882,0.0
rwn:*,1,1862,0.0
caravan_site:*,2,1853,0.0
nid:*,3,1842,0.0
real_ale,1,1833,0.0
operational,1,1832,0.0
pitlatrine:*,1,1830,0.0
table,1,1821,0.0
agrarian,1,1812,0.0
architect,1,1805,0.0
caravan_site,1,1801,0.0
diocese,1,1784,0.0
source_type_survey,1,1782,0.0
church:*,3,1778,0.0
wikipedia:*,58,1774,0.0
pastry,1,1772,0.0
year_of_construction,1,1761,0.0
divipola,1,1759,0.0
fee:*,61,1753,0.0
heating,1,1750,0.0
surveillance:*,10,1747,0.0
consulting,1,1728,0.0
city,1,1721,0.0
private,1,1719,0.0
kitchen,1,1714,0.0
cyclestreets_id,1,1704,0.0
medical_service:*,36,1671,0.0
electronics_repair,1,1667,0.0
mobile_phone:*,7,1659,0.0
takeaway:*,23,1653,0.0
MHK:*,5,1651,0.0
resort,1,1635,0.0
personnel:*,1,1625,0.0
utm,1,1625,0.0
fire_station:*,5,1608,0.0
cityracks.installed,1,1600,0.0
iced_water,1,1595,0.0
certifications,1,1592,0.0
luminous,1,1581,0.0
hazard:*,6,1575,0.0
survey_date,1,1565,0.0
nursery,1,1560,0.0
wetap:*,11,1550,0.0
butcher,1,1528,0.0
id:*,9,1524,0.0
railway,1,1514,0.0
last_checked,1,1508,0.0
id_origin,1,1507,0.0
parish,1,1504,0.0
license_classes,1,1503,0.0
bbq,1,1478,0.0
openbenches:*,1,1476,0.0
classification,1,1471,0.0
handwashing:*,5,1467,0.0
room,1,1461,0.0
contact_person,1,1457,0.0
pole:*,5,1438,0.0
lukr:*,2,1428,0.0
deanery,1,1428,0.0
copy_facility,1,1427,0.0
route_marker:*,16,1426,0.0
alcohol,1,1424,0.0
column:*,8,1419,0.0
designation:*,4,1414,0.0
computer:*,9,1408,0.0
trolley:*,16,1401,0.0
long_name,1,1401,0.0
sorting_name,1,1399,0.0
floor:*,3,1398,0.0
reusable_packaging:*,9,1393,0.0
defibrillator:*,12,1391,0.0
twitter,1,1390,0.0
precision,1,1386,0.0
depth,1,1375,0.0
osm_id,1,1359,0.0
blood:*,12,1355,0.0
district,1,1352,0.0
wood_provided,1,1350,0.0
zoo,1,1349,0.0
lamp_mount,1,1347,0.0
map,1,1344,0.0
genus,1,1340,0.0
certification,1,1338,0.0
animal_boarding,1,1327,0.0
education_form:*,3,1327,0.0
coin:*,2,1326,0.0
toilet:*,8,1323,0.0
aircraft:*,12,1317,0.0
sign,1,1315,0.0
sauna,1,1315,0.0
grade,1,1308,0.0
related:*,3,1308,0.0
legal,1,1297,0.0
gender,1,1292,0.0
live_music,1,1288,0.0
change_machine,1,1284,0.0
cinema:*,33,1276,0.0
sms,1,1275,0.0
removed:*,117,1269,0.0
